SentimentText,UserName,CreationDate,Image,Location,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
"@PeteLau Please decrease the prices of one plus 9 pro and the one plus 9.
They are too expensive that no one will step forward to buy in India. 
There's a drastic change between prices of one plus 8 Pro and 9 Pro. 
@PeteLau you might think of earning millions of dollars but think of India",Nitin42977164,04/11/2021 05:00:17,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,0,16,False,0,0,1381291023687589888,-0.500,
@oneplus I would sell all of my electronics and my mom's car for a green one plus 9 pro 📱☘️🟩💚📱,MeamaScott,04/13/2021 04:58:04,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2,9,False,0,0,1382015238791262209,-0.200,
@OnePlus_IN @OnePlus_IN i will like you to capture my one plus 9 pro shipping details which is hidden by #AmazonIndia @AmitAgarwal @JeffBezos,rachit_vm,04/12/2021 10:08:03,https://pbs.twimg.com/profile_images/738826666177396736/kRBLtaT9_normal.jpg,,15,93,False,0,0,1381549669554085890,-0.166,I don't react but I respond
@oneplus Not interested for because one plus 9 pro because has only two 5g band it's not good smartphone for long-term usage and it also as heating issues,PandeyMp0998121,04/13/2021 03:48:13,https://pbs.twimg.com/profile_images/1360859479319842818/2aBzqF-G_normal.jpg,,10,36,False,0,0,1381997661956435971,-0.158,Ooooo yehhh!!
"@DirectTechYT @YouTube @OnePlus_USA image quality im fine with, the shutter lag isnt bad, just slightly slower than the iphone, but quicker than the samsung s21 Ultra, im on a tmobile one plus 9 pro so no update yet",mrtechrant,04/12/2021 11:47:29,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,,2173,153,False,0,0,1381755883366051840,-0.149,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
"@dcrainmakerblog I have being waiting a good long while to get this watch and I type this from my one plus 9 Pro, so I am very much a. Oneplus fan, these reviews are brutal and hard to ignore.",BrianOFarrell,04/13/2021 11:22:11,https://pbs.twimg.com/profile_images/1282231395658719232/V35LyNGM_normal.jpg,,677,1006,False,0,0,1382111906467565569,-0.051,"Irish, father, marathoner, media planner passionate about data, sport and boardgames. Opinions my own. He/him"
"@oneplus @OnePlus_IN @OnePlus_Support @TechnicalGuruji 
why my brand new one plus 9 pro is getting heated up so high while just scrolling posts on insta only..
god save me when I'll play any game
do something please @geekyranjit @UnboxTherapy @PeteLau @LewLater @Techburner_slok",shivadragon27,04/13/2021 01:53:29,https://pbs.twimg.com/profile_images/1282694297142218752/g_npkCXO_normal.jpg,,0,8,False,0,0,1381968787361030145,-0.025,
"@_Ritik_Sharma_ @LewLater @UnboxTherapy No, according to that acticle, the thief stole bcz he thought it was One plus 9 pro . But later he realises that it was Samsung Galaxy S10 plus , then comes back to return to the victim..........",AhmedOmar5478,04/10/2021 04:33:48,https://pbs.twimg.com/profile_images/1263864788028882945/tPF_--8V_normal.jpg,,5,28,False,0,4,1380740775642857473,-0.025,A student and a gamer.
